user_id,signup_date,day,returned
user_0,2025-03-06 10:40:52.112954,0,1
user_1,2025-03-06 10:40:52.112954,0,1
user_2,2025-03-06 10:40:52.112954,0,0
user_3,2025-03-06 10:40:52.112954,0,1
user_4,2025-03-06 10:40:52.112954,0,0
user_5,2025-03-06 10:40:52.112954,0,0
user_6,2025-03-06 10:40:52.112954,0,1
user_7,2025-03-06 10:40:52.112954,0,1
user_8,2025-03-06 10:40:52.112954,0,0
user_9,2025-03-06 10:40:52.112954,0,1
user_10,2025-03-06 10:40:52.112954,0,1
user_11,2025-03-06 10:40:52.112954,0,1
user_12,2025-03-06 10:40:52.112954,0,0
user_13,2025-03-06 10:40:52.112954,0,1
user_14,2025-03-06 10:40:52.112954,0,1
user_15,2025-03-06 10:40:52.112954,0,1
user_16,2025-03-06 10:40:52.112954,0,1
user_17,2025-03-06 10:40:52.112954,0,1
user_18,2025-03-06 10:40:52.112954,0,1
user_19,2025-03-06 10:40:52.112954,0,1
user_20,2025-03-06 10:40:52.112954,0,1
user_21,2025-03-06 10:40:52.112954,0,1
user_22,2025-03-06 10:40:52.112954,0,1
user_23,2025-03-06 10:40:52.112954,0,1
user_24,2025-03-06 10:40:52.112954,0,0
user_25,2025-03-06 10:40:52.112954,0,1
user_26,2025-03-06 10:40:52.112954,0,1
user_27,2025-03-06 10:40:52.112954,0,1
user_28,2025-03-06 10:40:52.112954,0,1
user_29,2025-03-06 10:40:52.112954,0,1
user_30,2025-03-06 10:40:52.112954,0,0
user_31,2025-03-06 10:40:52.112954,0,1
user_32,2025-03-06 10:40:52.112954,0,1
user_33,2025-03-06 10:40:52.112954,0,0
user_34,2025-03-06 10:40:52.112954,0,1
user_35,2025-03-06 10:40:52.112954,0,1
user_36,2025-03-06 10:40:52.112954,0,1
user_37,2025-03-06 10:40:52.112954,0,1
user_38,2025-03-06 10:40:52.112954,0,1
user_39,2025-03-06 10:40:52.112954,0,1
user_40,2025-03-06 10:40:52.112954,0,0
user_41,2025-03-06 10:40:52.112954,0,1
user_42,2025-03-06 10:40:52.112954,0,0
user_43,2025-03-06 10:40:52.112954,0,1
user_44,2025-03-06 10:40:52.112954,0,1
user_45,2025-03-06 10:40:52.112954,0,1
user_46,2025-03-06 10:40:52.112954,0,1
user_47,2025-03-06 10:40:52.112954,0,1
user_48,2025-03-06 10:40:52.112954,0,1
user_49,2025-03-06 10:40:52.112954,0,1
user_50,2025-03-06 10:40:52.112954,0,1
user_51,2025-03-06 10:40:52.112954,0,0
user_52,2025-03-06 10:40:52.112954,0,1
user_53,2025-03-06 10:40:52.112954,0,0
user_54,2025-03-06 10:40:52.112954,0,1
user_55,2025-03-06 10:40:52.112954,0,1
user_56,2025-03-06 10:40:52.112954,0,1
user_57,2025-03-06 10:40:52.112954,0,0
user_58,2025-03-06 10:40:52.112954,0,1
user_59,2025-03-06 10:40:52.112954,0,1
user_60,2025-03-06 10:40:52.112954,0,1
user_61,2025-03-06 10:40:52.112954,0,1
user_62,2025-03-06 10:40:52.112954,0,1
user_63,2025-03-06 10:40:52.112954,0,1
user_64,2025-03-06 10:40:52.112954,0,1
user_65,2025-03-06 10:40:52.112954,0,1
user_66,2025-03-06 10:40:52.112954,0,1
user_67,2025-03-06 10:40:52.112954,0,1
user_68,2025-03-06 10:40:52.112954,0,1
user_69,2025-03-06 10:40:52.112954,0,1
user_70,2025-03-06 10:40:52.112954,0,1
user_71,2025-03-06 10:40:52.112954,0,1
user_72,2025-03-06 10:40:52.112954,0,0
user_73,2025-03-06 10:40:52.112954,0,1
user_74,2025-03-06 10:40:52.112954,0,1
user_75,2025-03-06 10:40:52.112954,0,1
user_76,2025-03-06 10:40:52.112954,0,1
user_77,2025-03-06 10:40:52.112954,0,1
